S.No,titles,rating,trailer,title_links
0,The Nightmare Before Christmas,⭐ 7.9,https://www.imdb.com//video/vi1628814105/?ref_=int_popm_tr_vp_1,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
1,Coraline,⭐ 7.8,https://www.imdb.com//video/vi513934105/?ref_=int_popm_tr_vp_2,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
2,Corpse Bride,⭐ 7.4,https://www.imdb.com//video/vi2683765017/?ref_=int_popm_tr_vp_3,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
3,Fantastic Mr. Fox,⭐ 7.9,https://www.imdb.com//video/vi3713925657/?ref_=int_popm_tr_vp_4,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
4,Frankenweenie,⭐ 6.9,https://www.imdb.com//video/vi1353497/?ref_=int_popm_tr_vp_5,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
5,The Lego Movie,⭐ 7.7,https://www.imdb.com//video/vi2178131993/?ref_=int_popm_tr_vp_6,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
6,ParaNorman,⭐ 7.0,https://www.imdb.com//video/vi2995757081/?ref_=int_popm_tr_vp_7,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
7,James and the Giant Peach,⭐ 6.7,https://www.imdb.com//video/vi1642251545/?ref_=int_popm_tr_vp_8,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
8,Guillermo Del Toro's Pinocchio,⭐ 7.6,https://www.imdb.com//video/vi2231354649/?ref_=int_popm_tr_vp_9,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
9,Mad God,⭐ 6.8,https://www.imdb.com//video/vi1904853785/?ref_=int_popm_tr_vp_10,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
10,Wallace & Gromit: The Curse of the Were-Rabbit,⭐ 7.5,https://www.imdb.com//video/vi3571515673/?ref_=int_popm_tr_vp_11,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
11,Isle of Dogs,⭐ 7.8,https://www.imdb.com//video/vi2651502617/?ref_=int_popm_tr_vp_12,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
12,The Little Prince,⭐ 7.6,https://www.imdb.com//video/vi439268377/?ref_=int_popm_tr_vp_13,https://www.imdb.com//video/vi784205081/?ref_=int_ratm_tr_vp_1
